area,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,orientation,axis_major_length,axis_minor_length,equivalent_diameter_area
45.0,0,57,7,67,3.1555555555555554,61.24444444444445,-1.4945483648385594,9.963592283183559,6.6671047392859,7.569397566060481
1526.0,0,114,50,169,21.434469200524248,137.9921363040629,-1.083227265707694,57.88684272107497,42.80567163646628,44.07906016767892
31.0,0,217,4,228,1.032258064516129,222.38709677419354,1.525658111478745,11.124840973103645,3.700639017792982,6.282549314314218
23.0,0,235,3,245,0.782608695652174,239.6086956521739,1.545781452872623,9.710752766353322,3.102525800703619,5.4115163798060095
18.0,0,254,2,264,0.4444444444444444,258.5,1.5707963267948966,10.519822558706334,1.9876159799998159,4.787307364817192
99.0,0,435,9,449,3.292929292929293,441.3333333333333,-1.5418003689724187,14.102484421612541,9.444657614875412,11.227230955528665
4.0,0,463,2,466,0.25,464.0,1.5707963267948966,2.8284271247461903,1.7320508075688772,2.256758334191025
1.0,0,488,1,489,0.0,488.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
166.0,0,530,23,544,7.728915662650603,536.1807228915662,-0.10223602712675305,26.1999316507406,13.330286834642754,14.538148590038452
3.0,0,598,1,601,0.0,599.0,1.5707963267948966,3.265986323710904,0.0,1.9544100476116797
33.0,0,648,5,656,1.696969696969697,651.0909090909091,-1.3624756817515558,8.371711772725975,5.170804113560178,6.4820448144285745
12.0,0,842,3,848,0.6666666666666666,844.5,-1.5707963267948966,5.5377492419453835,2.98142396999972,3.9088200952233594
62.0,0,1000,9,1010,3.870967741935484,1004.3387096774194,0.7095305374637498,10.721944918708683,7.4207110381055505,8.884866446580956
350.0,0,1025,14,1062,4.925714285714286,1043.6685714285713,1.5459124562331346,34.735377102390714,14.095867465166071,21.11004122822376
106.0,0,1231,18,1243,8.452830188679245,1236.5188679245282,0.33702499753569287,21.810114525460538,7.5669505500531935,11.617374563210365
93.0,0,1453,6,1475,1.8387096774193548,1464.021505376344,1.5571111018088393,21.594211613145696,5.896759140481458,10.881694613449236
474.0,0,1532,43,1563,19.719409282700422,1544.2679324894514,-0.28490842733272087,52.90746502962693,21.18701798086623,24.566553364370574
47.0,0,1588,8,1596,2.74468085106383,1591.5531914893618,0.20950187632410378,8.336232016878746,7.749661824585769,7.735777827895049
19.0,0,1873,3,1884,0.47368421052631576,1878.0526315789473,1.5592537916625595,10.81772373204421,2.3787168180304215,4.918490759365935
34.0,0,1900,7,1906,2.5588235294117645,1902.5294117647059,-0.08391761905763646,7.661170592270165,5.985440359572831,6.579524642479541
484.0,0,1936,25,1963,11.929752066115702,1948.1756198347107,0.8282371902677834,28.584016071562477,21.85606041279361,24.824341676101277
1211.0,0,1972,37,2018,18.085879438480596,1995.1205615194056,-1.299217956292842,48.074888416216055,34.025667262733705,39.26694651579471
146.0,2,1116,18,1131,9.684931506849315,1122.6164383561643,0.7208863493218255,18.064331639307326,10.365150723560975,13.63425735166143
204.0,3,933,21,949,11.906862745098039,940.9313725490196,-0.7086351777803894,19.536526707942947,13.51223756528378,16.11647812414279
103.0,4,972,15,985,8.601941747572816,977.6796116504854,-1.1849676410907453,12.849609366565305,10.264050406950734,11.451797811161432
732.0,5,680,40,715,22.367486338797814,698.3838797814208,-0.867902010890917,42.771685382623,23.217406783590288,30.52886088189566
9.0,6,385,10,388,7.555555555555555,386.1111111111111,-0.46364760900080615,4.618802153517006,2.3517789431685254,3.385137501286538
2.0,6,456,8,458,6.5,456.5,0.7853981633974483,2.8284271247461903,0.0,1.5957691216057308
11.0,6,606,9,610,7.090909090909091,607.6363636363636,-1.307763117296515,4.346129984141888,3.067356324605907,3.742410318509555
2.0,6,965,8,967,6.5,965.5,0.7853981633974483,2.8284271247461903,0.0,1.5957691216057308
397.0,8,481,31,506,19.91435768261965,493.0403022670025,1.3844170140443466,24.226390459346728,21.188410483327797,22.48279562821002
121.0,8,912,20,926,13.768595041322314,918.2892561983471,1.1856274231253987,14.16820444574934,10.911002493213136,12.412170838050638
85.0,9,1908,22,1917,15.529411764705882,1911.8117647058823,-0.0689736505457557,12.309798742333731,8.882559224876946,10.403141895720198
1.0,10,376,11,377,10.0,376.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
309.0,12,1774,32,1795,21.550161812297734,1784.893203883495,-0.8113701629884497,20.795494938581516,19.01688188101231,19.83509564693766
1175.0,13,194,68,238,39.05787234042553,214.37446808510637,0.5619232330877129,67.89225137087399,24.19202205462534,38.678889139475245
134.0,14,512,27,525,20.261194029850746,517.8731343283582,0.6017038994999567,13.703109549155586,12.497565603017618,13.061933202803933
5952.0,17,252,102,348,60.46875,298.39516129032256,1.3915030824666568,95.18464167509023,83.08008204488999,87.05355690759389
2849.0,17,1455,70,1528,43.82309582309583,1489.2358722358722,1.5127744274784523,70.61340257720092,51.89484880407321,60.228394158822454
14.0,17,2025,22,2030,18.642857142857142,2026.857142857143,-0.6141795343092052,5.519221310566809,3.4267007102515197,4.222008245644752
749.0,20,981,48,1016,34.299065420560744,997.743658210948,1.5566554658587128,34.24950296857799,28.055789257007092,30.881327999401787
292.0,21,43,41,63,30.054794520547944,52.023972602739725,0.8138739913689026,22.779819103882993,16.398567576183126,19.281751659604673
1.0,22,1152,23,1153,22.0,1152.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
44.0,23,627,31,638,26.363636363636363,631.7045454545455,1.0464490063236564,11.770996726190976,5.602301744134451,7.48482063701911
2.0,25,238,27,239,25.5,238.0,0.0,2.0,0.0,1.5957691216057308
1.0,25,664,26,665,25.0,664.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
22.0,26,908,33,913,28.727272727272727,909.3636363636364,-0.33587971822436924,7.212956949252349,4.170700139249769,5.292567428401227
1683.0,29,2,114,39,63.96078431372549,13.961378490790256,-0.13788267284796973,100.52086504745655,33.29733036358908,46.291059112848984
2.0,29,1884,31,1885,29.5,1884.0,0.0,2.0,0.0,1.5957691216057308
22.0,30,714,36,720,32.5,716.5,0.7853981633974483,7.135060680126758,3.9080336836735787,5.292567428401227
91.0,33,1142,43,1157,37.65934065934066,1149.3296703296703,1.3600048316291997,13.45481229069863,8.864599056277838,10.764051215546116
93.0,36,1687,51,1698,44.096774193548384,1691.731182795699,-0.2064107004057364,13.410952364580615,9.629786230824969,10.881694613449236
1675.0,37,905,113,944,75.22507462686568,926.4232835820895,0.2764757417563795,83.3733578090684,29.264577882201866,46.1809077155419
21.0,38,791,44,797,40.285714285714285,793.2857142857143,-0.7853981633974481,5.656854249492381,4.826232174979021,5.170882945826411
24.0,40,1021,47,1027,43.125,1023.6666666666666,0.5394293431395862,6.899312784002476,4.513502556853405,5.527906391541368
45.0,43,1725,51,1733,46.53333333333333,1728.7111111111112,-0.8325775739158138,8.914926516003355,6.447557583651907,7.569397566060481
96.0,44,1122,56,1135,50.03125,1128.9270833333333,-0.9423863074784047,12.357539451294283,10.32103955997623,11.055812783082736
2.0,44,1888,46,1890,44.5,1888.5,-0.7853981633974483,2.8284271247461903,0.0,1.5957691216057308
61.0,44,1904,53,1914,47.67213114754098,1908.0983606557377,0.8963931089703951,10.341476305148078,7.546495530057674,8.812923024107548
329.0,46,361,67,388,56.109422492401215,373.0851063829787,-0.9859712347835883,28.900971751290683,16.435586312584046,20.466944330257718
1.0,49,1772,50,1773,49.0,1772.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
198.0,50,1055,65,1074,57.48989898989899,1064.2575757575758,1.3622615932894775,18.18968393597964,13.928805958438277,15.877702285203682
27.0,50,1107,56,1114,52.666666666666664,1109.888888888889,-1.5174284904703288,6.381458568993783,5.440402024348642,5.863230142835039
60.0,50,1282,57,1294,52.766666666666666,1287.2166666666667,-1.2226222439423209,13.053437465156984,5.976527541503275,8.740387444736633
734.0,50,1566,93,1601,73.25885558583106,1585.2125340599455,-0.5521741338719852,50.2843013783738,20.368390106983206,30.570538527078803
338.0,51,995,72,1031,61.24556213017752,1012.1538461538462,-1.3486040343044254,38.83935586265564,15.628300164425895,20.7449985808745
149.0,52,972,72,984,63.09395973154363,977.6711409395973,-0.27494130008271156,18.802843432600437,10.72494309845409,13.773623058786647
1.0,53,1088,54,1089,53.0,1088.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
93.0,54,1412,65,1424,59.03225806451613,1417.6559139784947,1.4399206620870326,11.520860379802173,10.36452217284469,10.881694613449236
1408.0,56,1701,97,1749,76.20383522727273,1722.5227272727273,-1.1042066150314918,45.647204677050716,39.7150432444759,42.34053942720982
106.0,56,1830,69,1843,62.075471698113205,1835.7924528301887,-0.8043700544561272,15.419343687357017,8.856896942385099,11.617374563210365
179.0,58,697,71,720,63.8268156424581,709.8547486033519,1.480608213020683,20.50287637142562,12.199417241966435,15.09668435477122
142.0,61,1614,75,1628,67.08450704225352,1620.9084507042253,0.6943482898854257,14.048808762823548,12.962114478068665,13.446189622059965
109.0,61,1759,78,1770,69.80733944954129,1764.7981651376147,-0.2747475022328434,17.9934236333122,8.893880553799148,11.780624362746345
1.0,62,126,63,127,62.0,126.0,-0.7853981633974483,0.0,0.0,1.1283791670955126
240.0,62,1786,80,1804,70.23333333333333,1794.9375,0.14313609448288858,18.214823551320077,16.931821871351126,17.480774889473267
6.0,65,509,68,512,65.66666666666667,510.1666666666667,0.46364760900080604,3.0550504633038935,2.666666666666667,2.763953195770684
316.0,65,1834,93,1863,80.26898734177215,1851.0,-0.6593729808897275,36.97459766226617,16.601812998893163,20.0585068271871
28.0,66,1982,72,1989,68.60714285714286,1985.4642857142858,-1.0292418467145046,7.357614554467422,4.9516228948072145,5.970821321441846
31.0,67,182,74,188,70.06451612903226,184.6451612903226,0.5165193772879483,6.813781933146205,5.792730482588427,6.282549314314218
